Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
47357.225256;1424.0710966068864;-3443.158312394993;3726.032427717971;1424.0710966068864;-3443.158312394993;-67.53028534222256
48349.43444;1498.4270324247543;-3349.3951158723044;3669.295738112493;1498.4270324247543;-3349.3951158723044;-65.89757410227938
49362.431984;1586.3285580108736;-3254.4508993129766;3620.4818671;1586.3285580108736;-3254.4508993129766;-64.01384267735027
50396.653437;1683.73053369312;-3179.3917417224006;3597.704873585814;1683.73053369312;-3179.3917417224006;-62.09536581426229
51452.543475;1772.9436076904335;-3113.097546576193;3582.555703760806;1772.9436076904335;-3113.097546576193;-60.338006931652124
52530.556088;1880.4609945688474;-3049.252872254727;3582.467952550108;1880.4609945688474;-3049.252872254727;-58.33804564119559
53631.15478;1985.2568774439546;-3007.2417239940883;3603.435535148292;1985.2568774439546;-3007.2417239940883;-56.56885425492572
54754.812765;2090.4277992640327;-2978.621619237647;3638.9662178324447;2090.4277992640327;-2978.621619237647;-54.938420519937594
55902.013172;2200.042979520774;-2975.740967776029;3700.7058001196556;2200.042979520774;-2975.740967776029;-53.52351608828957
57073.249251;2310.8644066684697;-2984.426311157268;3774.505889879495;2310.8644066684697;-2984.426311157268;-52.24910388282937
58269.024589;2411.5625972891717;-3015.785962389327;3861.4244951298238;2411.5625972891717;-3015.785962389327;-51.35254498055698
59489.853323;2496.428714275259;-3103.4040878875307;3982.8724883148166;2496.428714275259;-3103.4040878875307;-51.186235278789425
60736.260359;2528.6765451480665;-3120.461422117765;4016.401941652153;2528.6765451480665;-3120.461422117765;-50.98030280217678
62008.781606;2624.615862415776;-3203.115339828661;4141.081538135924;2624.615862415776;-3203.115339828661;-50.668989488348565
63307.964196;2651.887793178387;-3297.3082506244305;4231.400544411327;2651.887793178387;-3297.3082506244305;-51.19172778065784
64634.366728;2650.2834816205254;-3395.2843007845026;4307.198395256983;2650.2834816205254;-3395.2843007845026;-52.02519272910231
65988.559502;2635.556549442302;-3492.901494337769;4375.6735680870015;2635.556549442302;-3492.901494337769;-52.96374939296199
67371.124768;2594.058467582239;-3572.9449429607034;4415.322740034252;2594.058467582239;-3572.9449429607034;-54.01929565328276
68782.656976;2530.7300130284243;-3638.8042376071644;4432.323395068404;2530.7300130284243;-3638.8042376071644;-55.182005885051225
70223.763028;2457.8424993369626;-3678.888707728184;4424.388305223324;2457.8424993369626;-3678.888707728184;-56.2533631973513
71695.062543;2396.2751466756167;-3732.697107564845;4435.669315379383;2396.2751466756167;-3732.697107564845;-57.30080226790504
73197.188124;2314.718314030262;-3757.2912678399935;4413.066795856796;2314.718314030262;-3757.2912678399935;-58.36442257013958
74730.785624;2243.852800712302;-3770.2000762412235;4387.400597865867;2243.852800712302;-3770.2000762412235;-59.24080306759978
76296.514431;2160.5052339609697;-3778.0631496531746;4352.188418340825;2160.5052339609697;-3778.0631496531746;-60.23669305143788
77895.047746;2086.9192508803285;-3777.7927112037273;4315.8950089777345;2086.9192508803285;-3777.7927112037273;-61.082966039385816
79527.072877;2033.319041371013;-3779.231931974848;4291.500940191005;2033.319041371013;-3779.231931974848;-61.71866374518626
81193.291529;1949.9883807291621;-3782.9222857788623;4255.931825725256;1949.9883807291621;-3782.9222857788623;-62.730187692983826
82894.420112;1895.625183498085;-3773.632696722581;4222.996396646093;1895.625183498085;-3773.632696722581;-63.32805179048354
84631.190045;1826.9757932327716;-3783.7113847947794;4201.7035107779975;1826.9757932327716;-3783.7113847947794;-64.22629443085336
86404.348069;1746.5928781358712;-3783.263903567923;4166.974015517129;1746.5928781358712;-3783.263903567923;-65.21897831588915
88214.656574;1672.1191851814;-3776.883963515491;4130.476370022251;1672.1191851814;-3776.883963515491;-66.11985261797264
90062.893922;1597.0081259668043;-3764.57790852677;4089.313118822254;1597.0081259668043;-3764.57790852677;-67.0123864233532
91949.854781;1504.903947051178;-3751.7610700636646;4042.3318785937736;1504.903947051178;-3751.7610700636646;-68.14332409891782
93876.350471;1424.2508822211107;-3733.320002658982;3995.768864406608;1424.2508822211107;-3733.320002658982;-69.11829042513926
95843.209309;1337.6541225018432;-3698.9867002850647;3933.423592791903;1337.6541225018432;-3698.9867002850647;-70.11863244944078
97851.276968;1247.3087062900402;-3674.354348607928;3880.2910828855256;1247.3087062900402;-3674.354348607928;-71.24953195788152
99901.416839;1152.4120764549366;-3626.6906814979193;3805.3828839189127;1152.4120764549366;-3626.6906814979193;-72.37189895944677
101994.510399;1058.7169891344465;-3581.641685896704;3734.8412053573165;1058.7169891344465;-3581.641685896704;-73.53256034868097
104131.457599;980.1074496398041;-3525.4566934806303;3659.16049257843;980.1074496398041;-3525.4566934806303;-74.46360939111513
106313.177241;906.5038082725921;-3460.041154648324;3576.818970296487;906.5038082725921;-3460.041154648324;-75.31891849724106
108540.607379;833.7899515625942;-3396.5199867108554;3497.363822002661;833.7899515625942;-3396.5199867108554;-76.20756304183254
110814.705721;765.8637100139748;-3327.5841488927485;3414.581012405277;765.8637100139748;-3327.5841488927485;-77.03874257490119
113136.45004;706.1533447859982;-3257.333940917242;3332.998192169313;706.1533447859982;-3257.333940917242;-77.76819642366662
115506.838595;651.8096719073312;-3189.1376287340604;3255.0659998530673;651.8096719073312;-3189.1376287340604;-78.44873198411842
117926.89056;599.8418616665036;-3119.0810304286865;3176.2362527664113;599.8418616665036;-3119.0810304286865;-79.1141436968805
120397.646462;555.579528236168;-3051.8546558414314;3102.013129014148;555.579528236168;-3051.8546558414314;-79.68248972011618
122920.168629;515.9202320831579;-2978.1565575341165;3022.5138820286993;515.9202320831579;-2978.1565575341165;-80.17191930828251
125495.541648;472.77470286234984;-2910.022332489289;2948.1767069246353;472.77470286234984;-2910.022332489289;-80.77210733957978
128124.872827;437.6299106882872;-2840.822447798017;2874.333334643384;437.6299106882872;-2840.822447798017;-81.24240471987959
130809.292676;409.54813527033275;-2775.4799365124313;2805.533559429731;409.54813527033275;-2775.4799365124313;-81.60604249524641
133549.95539;377.8430450527242;-2711.1860975003515;2737.3884309636983;377.8430450527242;-2711.1860975003515;-82.06610527259862
136348.039347;352.50303238622286;-2647.6044566168125;2670.9675674816212;352.50303238622286;-2647.6044566168125;-82.41621987027119
139204.747612;329.5184675914115;-2578.78543126071;2599.7532038572967;329.5184675914115;-2578.78543126071;-82.71817825555115
142121.308459;307.1486327769353;-2518.0211149496818;2536.6849662402265;307.1486327769353;-2518.0211149496818;-83.04540834832318
145098.975893;286.3268251659045;-2459.4982126295595;2476.108743318351;286.3268251659045;-2459.4982126295595;-83.35970140597833
148139.030196;267.8607503059952;-2399.5517888824547;2414.456081415332;267.8607503059952;-2399.5517888824547;-83.63047102369687
151242.778471;251.60081518997973;-2342.208524083713;2355.6832852687708;251.60081518997973;-2342.208524083713;-83.86877924098685
154411.555209;237.94352881974504;-2286.6549079330985;2299.0014769203003;237.94352881974504;-2286.6549079330985;-84.05932625753704
157646.722859;225.13346514866458;-2233.5871979467265;2244.9046411732847;225.13346514866458;-2233.5871979467265;-84.24433555671601
160949.672416;212.41514053730282;-2181.2058735240753;2191.524413422175;212.41514053730282;-2181.2058735240753;-84.43783142571567
164321.824019;202.7789154484327;-2126.696253958497;2136.3417903396326;202.7789154484327;-2126.696253958497;-84.55335597836073
167764.627562;192.0066946512731;-2078.2656034438787;2087.116309468367;192.0066946512731;-2078.2656034438787;-84.72154460945397
171279.563313;180.4718615560715;-2028.5144775744716;2036.5267193294437;180.4718615560715;-2028.5144775744716;-84.9159234013103
174868.142559;174.1497547928179;-1983.8442961856274;1991.473406451275;174.1497547928179;-1983.8442961856274;-84.98320837866487
178531.908247;165.6930217799492;-1936.006406736395;1943.0838850628497;165.6930217799492;-1936.006406736395;-85.10826366966272
182272.435653;158.3533513331957;-1892.8565152163496;1899.4687602262472;158.3533513331957;-1892.8565152163496;-85.21786219190872
186091.333056;150.90255110713656;-1848.0822272024695;1854.2328598189285;150.90255110713656;-1848.0822272024695;-85.33194989209704
189990.242434;147.5382063052376;-1805.6131602030887;1811.6308693048788;147.5382063052376;-1805.6131602030887;-85.32869032400329
193970.840164;141.17714454297513;-1764.708777177188;1770.3468740299213;141.17714454297513;-1764.708777177188;-85.42606446880232
